- - wiyaw	 NDI-1	 body; his/her body	 {w-} + -iyaw-
- mistikwânaskatihkway	 NDI-2	 top of skull, parietal bone	 {mi-} + -stikwânaskatihkway-
- mistikwânikan	 NDI-1	 skull	 {mi-} + -stikwânikan-
- misôkan	 NDI-1	 tail-bone; rear-end, buttocks	 {mi-} + -sôkan-
- mitahtahkwan	 NDI-1	 wing	 {mi-} + -tahtahkwan-
- mitakay	 NDI-2	 penis	 {mi-} + -takay-
- mitakikom	 NDA-1	 mucus, snot, rheum	 {mi-} -takikom-
- mitakisiya	 NDI-2	 intestines	 {mi-} + -takisiy-
- mitapiskohkêw	 NDI-1	 back of skull, occipital bone	 {mi-} + -tapiskohkêw-
- mitasiskitân	 NDI-1	 calf of the leg; ligament	 {mi-} + -(t)asiskitân-
- mitihtihkos	 NDA-1	 kidney	 {mi-} + -tihtihkos-
- mitihtihkosiw	 NDA-2	 kidney	 {mi-} + -tihtihkosiw-
- mitihtihkosiy	 NDA-2	 kidney	 {mi-} + -tihtihkosiy-
- mitihtikon	 NDI-3	 armpit	 {mi-} + -tihtikon-
- mitihtiman	 NDI-1	 shoulder	 {mi-} + -tihtiman-
- mitihtimanikan	 NDI-1	 shoulder-bone	 {mi-} + -tihtimanikan-
- mitisiy	 NDI-2	 navel, belly-button	 {mi-} + -tisiy-
- mitisiyêyâpiy	 NDI-2	 umbilical cord	 {mi-} + -tisiyêyâpiy-
- mitiskwêspiy	 NDI-2	 bottom rib	 {mi-} + -(t)iskwêspiy-
- mitisowayak	 NDA-2	 testicles	 {mi-} + -tisoway-
- mitiy	 NDI-2	 bum; buttocks	 {mi-} + -tiy-
- mitohtôsim	 NDA-1	 breast, nipple	 {mi-} + -tohtôsim-
- mitokan	 NDI-1	 hip	 {mi-} + -tokan-
- mitâkay	 NDA-2	 vagina, vulva	 {mi-} + -tâkay-
- mitâpiskan	 NDI-1	 jaw; chin	 {mi-} + -tâpiskan-
- mitâs	 NDA-1	 pair of pants	 {mi-} + -tâs-
- mitâs	 NDI-1	 legging, gaiter	 {mi-} + -tâs-
- mitâsiyân	 NDA-1	 loin-cloth, breech clout; diaper	 {mi-} + -(t)âsiyân-
- mitêh	 NDI-1	 heart	 {mi-} + -têh-
- mitêskan	 NDA-1	 horn; antler	 {mi-} + -(t)êskan-
- mitêyaniy	 NDI-2	 tongue	 {mi-} + -têyaniy-
- mitêyaniyâpiy	 NDI-2	 tongue string	 {mi-} + -têyaniyâpiy-
- mitêyikom	 NDI-1	 nostril	 {mi-} + -têyikom-
- mitîhikan	 NDI-1	 shoulder-blade	 {mi-} + -tîhikan-
- mitîhiy	 NDA-2	 shoulder-blade	 {mi-} + -tîhiy-
- mitîhkôkan	 NDI-1	 armpit	 {mi-} + -tîhkôkan-
- mitôn	 NDI-1	 mouth	 {mi-} + -tôn-
- mitôskwan	 NDI-1	 elbow	 {mi-} + -tôskwan-
- miyaw	 NDI-1	 body; corpse, dead body	 {m-} + -iyaw-
- mâskikan	 NDI-1	 chest, breast	 {m-} + -âskikan-
- mâskikanis	 NDI-1	 small chest, small breast	 {m-} + -âskikanis-
- mâwikan	 NDI-1	 backbone, spine; back	 {m-} + -âwikan-
- mêscakâsa	 NDI-1	 hair; short hair	 {m-} + -êscakâs-
- mêstakaya	 NDI-2	 hair	 {m-} + -êstakay-
- mîpicikan	 NDI-1	 gums	 {m-} + îpicikan-
- mîpit	 NDI-1	 tooth	 {m-} + -îpit-
- mîpitihkâna	 NDI-1	 false teeth, dentures	 {m-} + -îpitihkân-
- mîtihp	 NDI-1	 brain	 {m-} + -îtihp-
- nacâs	 NDI-2	 my little stomach, my small belly	 {n-} + -acâs-
- nahkwan	 NDI-1	 my heel	 {n-} + -ahkwan-
- nahkwanikan	 NDI-1	 my heelbone	 {n-} + -ahkwanikan-
- nahkwanêyâpiy	 NDI-2	 my achilles tendon, the tendon at back of my heel	 {n-} + -ahkwanêyâpiy-
- naniway	 NDI-2	 my cheek	 {n-} + -aniway-
- nasakay	 NDA-2	 my skin	 {n-} + -asakay-
- naskasiy	 NDA-2	 my fingernail; my claw	 {n-} + -askasiy-
- naskatay	 NDI-2	 my stomach-covering; my abdominal-wall	 {n-} + -askatay-
- natay	 NDI-2	 my belly, my abdomen; my stomach	 {n-} + -atay-
- nayakask	 NDI-3	 my palate	 {n-} + -ayakaskw-
- nicawâsimis	 NDA-1	 my child; my fetus	 {ni-} + -(t)awâsimis-
- nicicâskay	 NDI-2	 my crotch, my pubic region	 {ni-} + -cicâskay-
- nicicâskâs	 NDI-1	 my crotch, my pubic region	 {ni-} + -cicâskâs-
- nicihciy	 NDI-2	 my hand; my paw	 {ni-} + -cihciy-
- nicihcîs	 NDI-1	 my finger; my little hand	 {ni-} + -cihcîs-
- nicisk	 NDI-1	 my anus	 {ni-} + -cisk-
- niciskakisiy	 NDI-2	 my rectum (lower end)	 {ni-} + -ciskakisiy-
- niciskêyâpiy	 NDI-2	 my rectum (full length)	 {ni-} + -ciskêyâpiy-
- niciwâm	 NDA-1	 my male parallel cousin; husband of my female cross-cousin; [used by male speaker only] ;; my brother; my friend; my fellow age-mate male ;; [plural:] brethren (in Christian sense) ;; my rival	 {ni-} + -ciwâm-
- niciwâmis	 NDA-1	 my male parallel cousin; husband of my female cross-cousin; [used by male speaker only] ;; my brother; my friend; my fellow age-mate male ;; [plural:] brethren (in Christian sense)	 {ni-} + -ciwâmis-
- niciwâmiskwêm	 NDA-2	 my female parallel cousin; wife of my male cross-cousin; my father's brother's daughter, my mother's sister's daughter ;; my fellow tribeswoman ;; my sister-in-law	 {ni-} + -ciwâmiskwêm-
- nicohcôsimis	 NDA-1	 my nipple	 {ni-} + -cohcôsimis-
- nicâhkos	 NDA-1	 my female cross-cousin; my sister-in-law; [used by a female speaker only]	 {ni-} + -câhkos-
- nicânis	 NDA-1	 my daughter; my parallel niece	 {ni-} + -cânis-
- nicâpân	 NDA-1	 my great-grandparent; my great-grandchild	 {ni-} + -câpân-
- nicâpânis	 NDA-1	 my (very small) great grandchild	 {ni-} + -câpânis-
- nicâsis	 NDA-1	 my small pair of pants, my shorts; my underpants; my loin-cloth; my leggings	 {ni-} + -câsis-
- nicêhis	 NDA-1	 my dear heart [term of endearment]	 {ni-} + -cêhis-
- nicêhis	 NDI-1	 my little heart; [as endearment: NDA-1 "my dear heart"]	 {ni-} + -cêhis-
- nicêmisis	 NDA-1	 my pup, my puppy; my little dog; my little horse	 {ni-} -cêmisis-
- nicêstatay	 NDI-2	 my muscle	 {ni-} + -cêstatay-
- nicêstatayêyâpiy	 NDI-2	 my ligament, my tendon	 {ni-} + -cêstatayêyâpiy-
- nicîhcâwâw	 NDA-2	 my co-parent-in-law	 {ni-} + -cîhcâwâw-
- nicîhcîkom	 NDA-1	 my wart	 {ni-} + -cîhcîkom-
- nicôcêmisis	 NDA-1	 my young friend [said to a child]	 {ni-} + -côcêmisis-
- nicônis	 NDI-1	 my little mouth; [plural:] my lips	 {ni-} + -cônis-
- nicôskwanis	 NDI-1	 my little elbow	 {ni-} + -côskwanis-
- nihcawakâs	 NDI-1	 my little ear	 {ni-} + -htawakâs-
- nihcikwan	 NDI-1	 my knee	 {ni-} + -hcikwan-
- nihcikwanikan	 NDI-1	 my kneebone	 {ni-} + -hcikwanikan-
- nihkwâkan	 NDI-1	 my face	 {ni-} + -hkwâkan-
- nihkwâkanis	 NDI-1	 my little face	 {ni-} + -hkwâkanis-
- nihtawakay	 NDI-2	 my ear	 {ni-} + -htawakay-
- nikayâsim	 NDA-1	 my old flame, my former sweatheart	 {ni-} + -kayâsim-
- nikihci-âniskotâpân	 NDA-1	 my great great great grandparent; my great great great grandchild; my ancestor	 {ni-} + -kihci-âniskotâpân-
- nikisêyinîm	 NDA-1	 my old man, my husband	 {ni-} + -kisêyinîm-
- nikitik	 NDI-3	 my kneecap; my knee	 {ni-} + -kitikw-
- nikocâk	 NDA-1	 my wife's former partner, my wife's ex; [archaic:] my fellow husband	 {ni-} + -kocâk-
- nikocâsiskwêm	 NDA-1	 my husband's former partner, my husband's ex; [archaic:] my fellow wife	 {ni-} + -kocâsiskwêm-
- nikohcaskwayêyâpîsa	 NDI-1	 my bronchial tubes	 {ni-} -kohcaskwayêyâpîs-
- nikohtaskway	 NDI-2	 my throat	 {ni-} -kohtaskway-
- nikohtaskwayêyâpiy	 NDI-2	 my windpipe	 {ni-} + -kohtaskwayêyâpiy-
- nikohtâkan	 NDI-1	 my throat	 {ni-} + -kohtâkan-
- nikosim	 NDA-1	 my nephew; [male speaker:] my brother's son; husband of my sister's daughter; [female speaker:] my sister's son, husband of my brother's daughter	 {ni-} + -kosim-
- nikosis	 NDA-1	 my son; my parallel nephew; [male speaker:] my brother's son; [female speaker:] my sister's son	 {ni-} -kosis-
- nikot	 NDI-1	 my nose	 {ni-} + -kot-
- nikwayaw	 NDI-2	 my neck	 {ni-} + -kwayaw-
- nikwayawikan	 NDI-1	 my neck-bone	 {ni-} + -kwayawikan-
- nikwâskonêw	 NDI-2	 my chin	 {ni-} + -kwâskonêw-
- nikwâskonêwikan	 NDI-1	 my chin	 {ni-} + -kwâskonêwikan-
- nikwêmês	 NDA-1	 my namesake, my friend	 {ni-} + -kwêmês-
- nikâwiy	 NDA-2	 my mother; my mother's sister	 {ni-} + -kâwiy-
- nikâwîs	 NDA-1	 my parallel aunt; my mother's sister, my father's brother's wife; my stepmother; my godmother; "my dear mother"	 {ni-} + -kâwîs-
- nikêhtê-ayim	 NDA-1	 my elder; my parent, my grandparent	 {ni-} + -kêhtê-ayim-
- nimanitôm	 NDA-1	 my god; my Lord	 {ni-} + -manitôm-
- nimanâcimâkan	 NDA-1	 the person with whom I avoid speaking; my in-law of opposite gender; [female speaker:] my father-in-law; [male speaker:] my mother-in-law	 {ni-} + -manâcimâkan-
- niminôsimis	 NDA-1	 my kitten	 {ni-} + -minôsimis-
- nimis	 NDA-1	 my older sister; my older female parallel cousin (i.e. daughter of mother's sister or daughter of father's brother)	 {ni-} + -mis-
- nimiyêsâpiwinân	 NDI-1	 my eyebrow	 {ni-} + -miyêsâpiwinân-
- nimiyêsâpiwinânis	 NDI-1	 my eyelash	 {ni-} + -miyêsâpiwinânis-
- nimosôm	 NDA-1	 my grandfather; [reference extended to all related males of grandfather's generation]; my respected male elder	 {ni-} + -mosôm-
- nimosômipan	 NDA-1	 my deceased grandfather, my late grandfather	 {ni-} + -mosômipan-
- nimâmâ	 NDA-x	 my mom, my mother	 {ni-} + -mâmâ-
- ninahâhkaniskwêm	 NDA-1	 my daughter-in-law	 {ni-} + -nahâhkaniskwêm-
- ninahâhkim	 NDA-1	 my son-in-law	 {ni-} + -nahâhkim-
- ninahâhkisîm	 NDA-1	 my son-in-law	 {ni-} + -nahâhkisîm-
- ninâpêm	 NDA-1	 my husband, my (male) lover	 {ni-} + -nâpêm-
- ninîkihik	 NDA-3	 my parent; my blood relative	 {ni-} + -nîkihikw-
- ninôtokwêm	 NDA-1	 my old lady, my old woman, my wife	 {ni-} + -nôtokwêm-
- nipawâkan	 NDA-1	 my dream spirit	 {ni-} + -pawâkan-
- nipwâm	 NDI-1	 my thigh	 {ni-} + -pwâm-
- nipwâmikan	 NDI-1	 my femur	 {ni-} + -pwâmikan-
- nipâpâ	 NDA-x	 my dad, my father	 {ni-} + -pâpâ-
- nipê-wîci-ispîhcisîmâkan	 NDA-1	 my age-mate from there on down	 {ni-} + -pê-wîci-ispîhcisîmâkan-
- nipêpîm	 NDA-1	 my baby	 {ni-} + -pêpîm-
- nipêyakokosisân	 NDA-1	 my only son	 {ni-} + -pêyakokosisân-
- niscikwânis	 NDI-1	 my head, my little head; my mind	 {ni-} + -scikwânis-
- nisicis	 NDI-1	 my little foot	 {ni-} + -sicis-
- nisikos	 NDA-1	 my aunt, my cross-aunt; my father's sister, my mother's brother's wife; my mother-in-law	 {ni-} -sikos-
- nisis	 NDA-1	 my uncle, my cross-uncle; my mother's brother, my father's sister's husband; my father-in-law	 {ni-} + -sis-
- nisit	 NDI-1	 my foot	 {ni-} + -sit-
- niskan	 NDI-1	 my bone	 {ni-} + -skan-
- niskiwan	 NDI-1	 my nose, my snout	 {ni-} + -skiwan-
- niskiwanikan	 NDI-1	 my nasal bone	 {ni-} + -skiwanikan-
- niskocâkâs	 NDI-2	 my jacket; my short skirt, my mini-skirt	 {ni-} + -skocâkâs-
- niskon	 NDI-1	 my liver	 {ni-} + -skon-
- niskotâkay	 NDI-2	 my coat, my jacket; my dress; my skirt	 {ni-} + -skotâkay-
- niskâhtik	 NDI-3	 my forehead	 {ni-} + -skâhtikw-
- niskâhtikwanikan	 NDI-1	 my frontal bone	 {ni-} + -skâhtikwanikan-
- niskât	 NDI-1	 my leg	 {ni-} + -skât-
- niskâtikan	 NDI-1	 my legbone	 {ni-} + -skâtikan-
- niskîsik	 NDI-3	 my eye	 {ni-} + -skîsikw-
- niskîsikohkâna	 NDI-1	 my eyeglasses, my glasses, my spectacles	 {ni-} + -skîsikohkân-
- niskîsikos	 NDI-1	 my little eye	 {ni-} + -skîsikos-
- niskîsikwâpitân	 NDI-1	 my eye-tooth	 {ni-} + -skîsikwâpitân-
- nispayowak	 NDA-2	 my ovaries	 {ni-} + -spayow-
- nispiconis	 NDI-1	 my little arm	 {ni-} + -spiconis-
- nispikay	 NDI-2	 my side, my ribcage; my rib; [plural:] the sides of my torso	 {ni-} + -spikay-
- nispikêkan	 NDI-1	 my rib, my rib bone	 {ni-} + -spikêkan-
- nispiskwan	 NDI-1	 my back	 {ni-} + -spiskwan-
- nispiton	 NDI-1	 my arm	 {ni-} + -spiton-
- nistikwân	 NDI-1	 my head; my mind	 {ni-} + -stikwân-
- nistikwânaskatihkway	 NDI-2	 top of my skull, my parietal bone	 {ni-} + -stikwânaskatihkway-
- nistikwânikan	 NDI-1	 my skull	 {ni-} + -stikwânikan-
- nistim	 NDA-1	 my niece, my cross-niece; my daughter-in-law; [male speaker:] my sister's daughter; [female speaker:] my brother's daughter	 {ni-} + -stim-
- nistimihkâwin	 NDA-1	 my common-law daughter-in-law	 {ni-} + -stimihkâwin-
- nistês	 NDA-1	 my older brother, my older male parallel cousin (i.e. son of mother's sister or father's brother)	 {ni-} + -stês-
- nisêkipatwân	 NDI-1	 my braid	 {ni-} + -sêkipatwân-
- nisîm	 NDA-1	 my younger sibling (brother or sister)	 {ni-} + -sîm-
- nisîmis	 NDA-1	 my younger sibling (brother or sister)	 {ni-} + -sîmis-
- nisôkan	 NDI-1	 my tail-bone ;; my rear-end, my buttocks	 {ni-} + -sôkan-
- nitakay	 NDI-2	 my penis	 {ni-} + -takay-
- nitakikom	 NDA-1	 my mucus, my snot	 {ni-} + -takikom-
- nitakisiya	 NDI-2	 my intestines, my bowels, my guts, my entrails	 {ni-} + -takisiy-
- nitapiskohkêw	 NDI-2	 back of my skull, my occipital bone	 {ni-} + -tapiskohkêw-
- nitasiskitân	 NDI-1	 calf of my leg; my ligament	 {ni-} + -(t)asiskitân-
- nitaskihkom	 NDA-1	 my pail, my kettle ;; [slang:] my vagina	 {ni-} + -(t)askihkom-
- nitawâsimis	 NDA-1	 my child; my fetus	 {ni-} + -(t)awâsimis-
- nitawêmâw	 NDA-2	 my cross-sibling, my sibling or parallel cousin of opposite gender ;; [male speaker:] my sister; my female parallel cousin (i.e. daughter of my mother's sister or daughter of my father's brother) ;; [female speaker:] my brother; my male parallel cousin (i.e. son of my mother's sister or son of my father's brother)	 {ni-} + -tawêmâw-
- nitayisiyinîm	 NDA-1	 my partner; my follower; [plural:] my people	 {ni-} + -(t)ayisiyinîm-
- nitayân	 NDI-1	 my crotch, my pubic region	 {ni-} + -(t)ayân-
- nitihkom	 NDA-1	 my louse	 {ni-} + -(t)ihkom-
- nitihkwatim	 NDA-1	 my nephew, my cross-nephew (i.e. son of sibling of opposite gender); my son-in-law ;; [male speaker:] my sister's son ;; [female speaker:] my brother's son	 {ni-} + -tihkwatim-
- nitihtihkos	 NDA-1	 my kidney	 {ni-} + -tihtihkos-
- nitihtihkosiw	 NDA-2	 my kidney	 {ni-} + -tihtihkosiw-
- nitihtihkosiy	 NDA-2	 my kidney	 {ni-} + -tihtihkosiy-
- nitihtikon	 NDI-1	 my armpit	 {ni-} + -tihtikon-
- nitihtiman	 NDI-1	 my shoulder	 {ni-} + -tihtiman-
- nitihtimanikan	 NDI-1	 my shoulder-bone	 {ni-} + -tihtimanikan-
- nitihtâwâw	 NDA-1	 my co-parent-in-law	 {ni-} + -tihtâwâw-
- nitisiy	 NDI-2	 my navel, my belly-button	 {ni-} + -tisiy-
- nitisiyêyâpiy	 NDI-2	 my umbilical cord	 {ni-} + -tisiyêyâpiy-
- nitiskwêm	 NDA-1	 my wife, my woman, my (female) lover	 {ni-} + -(t)iskwêm-
- nitisowayak	 NDA-2	 my testicles	 {ni-} + -tisoway-
- nitiy	 NDI-2	 my buttocks	 {ni-} + -tiy-
- nitohtôsim	 NDA-1	 my breast, my nipple	 {ni-} + -tohtôsim-
- nitokan	 NDI-1	 my hip	 {ni-} + -tokan-
- nitâkay	 NDA-2	 my vagina, my vulva	 {ni-} + -tâkay-
- nitânis	 NDA-1	 my daughter ;; [male speaker:] my brother's daughter ;; [female speaker:] my sister's daughter	 {ni-} + -tânis-
- nitâniskocâpân	 NDA-1	 my great-great-grandchild; my great-great-grandparent	 {ni-} + -(t)âniskocâpân-
- nitâniskocâpânis	 NDA-1	 my (very small) great great grandchild	 {ni-} + -(t)âniskocâpânis-
- nitâniskotâpân	 NDA-1	 my great great grandparent; my great great grandchild	 {ni-} + -(t)âniskotâpân-
- nitâpiskan	 NDI-1	 my jaw; my chin	 {ni-} + -tâpiskan-
- nitâpân	 NDA-1	 my great grandparent; my great grandchild	 {ni-} + -tâpân-
- nitâs	 NDA-1	 my pair of pants, trousers	 {ni-} + -tâs-
- nitâs	 NDI-1	 my legging, my gaiter	 {ni-} + -tâs-
- nitâyim	 NDA-1	 my fellow wife	 {ni-} + -tâyim-
- nitêh	 NDI-1	 my heart	 {ni-} + -têh-
- nitêm	 NDA-1	 my dog; my horse	 {ni-} + -têm-
- nitêyaniy	 NDI-2	 my tongue	 {ni-} + -têyaniy-
- nitêyaniyâpiy	 NDI-2	 my tongue string	 {ni-} + -têyaniyâpiy-
- nitêyikom	 NDI-1	 my nostril	 {ni-} + -têyikom-
- nitîhikan	 NDI-1	 my shoulder-blade	 {ni-} + -tîhikan-
- nitîhiy	 NDA-2	 my shoulder-blade	 {ni-} + -tîhiy-
- nitîhkôkan	 NDI-1	 my armpit	 {ni-} + -tîhkôkan-
- nitôkimâm	 NDA-1	 my chief, my leader, my boss; my superior; my king	 {ni-} + (t)ôkimâm-
- nitôkimâskwêm	 NDA-1	 my leader, my boss, my boss-lady; my boss's wife; my chieftess; my superior; my queen	 {ni-} + (t)ôkimâskwêm-
- nitôn	 NDI-1	 my mouth	 {ni-} + -tôn-
- nitôsim	 NDA-1	 my nephew, my parallel nephew ;; [male speaker:] my brother's son; husband of my sister's daughter ;; [female speaker:] my sister's son; husband of my brother's daughter	 {ni-} + -tôsim-
- nitôsimiskwêm	 NDA-1	 my niece, my parallel niece ;; [male speaker:] my brother's daughter, wife of my sister's son ;; [female speaker:] my sister's daughter, wife of my brother's son	 {ni-} + -tôsimiskwêm-
- nitôsis	 NDA-1	 my aunt, my parallel aunt, my mother's sister, my father's brother's wife	 {ni-} + -tôsis-
- nitôsk-âyim	 NDA-1	 my young person, my child, my grandchild	 {ni-} + -(t)ôsk-âyim-
- nitôskinîkiskwêm	 NDA-1	 my young woman; my hired girl	 {ni-} + -(t)ôskinîkiskwêm-
- nitôskwan	 NDI-1	 my elbow	 {ni-} + -tôskwan-
- nitôt	 NDI-x	 my boat, my canoe	 {ni-} + -tôT-
- nitôtêm	 NDA-1	 my friend, my kinsman	 {ni-} + -tôtêm-
- niwiyihkosak	 NDA-1	 my glands	 {ni-} + -wiyihkos-
- niwiyihkwak	 NDA-3	 my glands	 {ni-} + -wiyihkw- + {-ak}
- niwâhkômâkan	 NDA-1	 my relative	 {ni-} + -wâhkômâkan-
- niwîcêwâkan	 NDA-1	 my spouse; my companion, my partner, my buddy, my friend	 {ni-} + -wîcêwâkan-
- niwîcêwâkanis	 NDA-1	 my companion	 {ni-} + -wîcêwâkanis-
- niwîkimâkan	 NDA-1	 my spouse, my wife, my husband; my housemate	 {ni-} + -wîkimâkan-
- niwîtatoskêmâkan	 NDA-1	 my fellow worker, my co-worker	 {ni-} + -wîtatoskêmâkan-
- niyaw	 NDI-1	 my body	 {n-} + -iyaw-
- niyihkos	 NDA-1	 my gland	 {n-} + -iyihkos-
- nâskikan	 NDI-1	 my chest, my breast	 {n-} + -âskikan-
- nâwikan	 NDI-1	 my backbone, my spine; my back	 {n-} + -âwikan-
- nêscakâsa	 NDI-1	 my hair, my short hair	 {n-} + -êscakâs-
- nêstakaya	 NDI-2	 my hair	 {n-} + -êstakay-
- nîcimos	 NDA-1	 my sweetheart, my lover	 {n-} + -îcimos-
- nîpicikan	 NDI-1	 my gums	 {n-} + -îpicikan-
- nîpit	 NDI-1	 my tooth	 {n-} + -îpit-
- nîpitihkâna	 NDI-1	 my false teeth, my dentures	 {n-} + -îpitihkân-
- nîtihp	 NDI-1	 my brain	 {n-} + -îtihp-
- nîtisân	 NDA-1	 my sibling; my brother or sister	 {n-} + -îtisân-
- nôhkom	 NDA-1	 my grandmother; [reference extended to all related females of grandmother's generation]; my respected female elder	 {n-} + -ohkom-
- nôsisim	 NDA-1	 my grandchild; [reference extended to any young person when used by an elder]	 {n-} + -ôsisim-
- ociwâmimâw	 NA-2	 brother, male parallel cousin	 /o-/ + -ciwâm- + /-imâw/
- ocâhkosimâw	 NA-2	 sister-in-law; eldest of all sisters-in-law	 /o-/ + -câhkos- + /-imâw/
- ocêstatay	 NI-2	 gristle; muscle	 {o-} + -cêstatay-
- okakayêsisiw	 NA-2	 cheater	 /o-/ + kakayêsisi- + /-w/
- okakihcimosk	 NA-1	 boaster, braggart	 /o-/ + kakihcimo- + /-sk/
- okakiyâskisk	 NA-1	 liar	 /o-/ + kakiyâski- + /-sk/
- okakiyâskiwâcimon	 NI-1	 tale of falsehoods	 /o-/ + kakiyâski- + [-w-] + âcimon-
- okakêpâtis	 NA-1	 stupid person, fool, nuisance	 /o-/ + kakêpâtisi- - [-i]
